categories,country,2020,2021,2022,2023,2024,2025,avg_price_per_cup
Bean Imports,Russia,3390,3400,3500,3500,3500,3500, 2.91
Bean Imports,Switzerland,3450,3400,3290,3345,3300,3300, 5.90
Bean Imports,Canada,2860,2940,2700,2980,2900,3100, 2.60
Bean Imports,South Korea,2635,3015,2820,2960,2900,3100, 3.59
Bean Imports,United Kingdom,22270,2725,2285,2450,2450,2600, 2.83
Bean Imports,Algeria,2200,2050,2000,1900,1900,2000, 0.94
Roast and Ground Imports ,United Kingdom,580,580,775,740,700,700, 2.83
Roast and Ground Imports ,United States,605,580,640,770,600,700, 4.36
Roast and Ground Imports ,Canada,475,550,450,185,400,400, 2.60
Roast and Ground Imports ,South Korea,360,390,355,390,375,400, 3.59
Roast and Ground Imports ,Ukraine,460,450,400,440,400,400, 1.28
Roast and Ground Imports ,Russia,460,305,350,350,350,350, 2.91
Roast and Ground Imports ,Australia,205,200,200,185,200,200, 3.34
Roast and Ground Imports ,China,310,350,290,210,250,200, 3.56
Roast and Ground Imports ,Saudi Arabia,200,210,200,200,200,200, 3.82
Roast and Ground Imports ,Vietnam,200,200,8,200,300,200, 1.99
Soluble Imports    ,Philippines,5500,5700,5200,5000,5500,5000, 2.47
Soluble Imports    ,Canada,1660,1840,1960,1815,1900,1900, 2.60
Soluble Imports    ,China,1825,2170,1975,1870,1800,1800, 3.56
Soluble Imports    ,Indonesia,751,725,983,1000,1000,1000, 1.85
Soluble Imports    ,United Kingdom,105,680,920,950,900,1000, 2.83
Soluble Imports    ,United States,585,680,725,950,900,1000, 4.36
Soluble Imports    ,Japan,530,500,535,590,650,650, 3.10
Soluble Imports    ,Kazakhstan,210,325,500,500,500,500, 1.75
Soluble Imports    ,Russia,315,350,400,400,400,400, 2.91
Soluble Imports    ,Guatemala,350,344,345,355,350,370, 1.13
Imports,European Union,43875,46600,44540,43975,47500,45000, 4.50
Imports,United States,25510,27025,23905,23500,26000,23900, 4.36
Imports,Japan,7150,7415,6505,6905,7260,7250, 3.10
Imports,Philippines,6160,6540,5900,5850,6300,5800, 2.47
Imports,China,3810,4180,4230,5485,5050,5600, 3.56
Imports,Canada,4995,5330,5110,4980,5200,5400, 2.60
Imports,United Kingdom,2955,3985,3980,4140,4050,4300, 2.83
Imports,Russia,4165,4055,4250,4250,4250,4250, 2.91
Imports,South Korea,2995,3405,3175,3350,3275,3500, 3.59
Imports,Switzerland,3450,3400,3290,3345,3300,3300, 5.90
Domestic Consumption,European Union,41271,41882,44522,39607,41800,42046, 4.50
Domestic Consumption,United States,25922,26708,24623,23550,26050,23950, 4.36
Domestic Consumption,Brazil,22280,22340,22450,22560,22670,22670, 1.55
Domestic Consumption,Japan,7354,7210,6886,6996,7300,7176, 3.10
Domestic Consumption,Philippines,6585,7190,6475,6500,7050,6550, 2.47
Domestic Consumption,China,4480,4920,5280,5765,6200,6300, 3.56
Domestic Consumption,Canada,4995,5330,5110,4980,5200,5400, 2.60
Domestic Consumption,Indonesia,4450,4750,4771,4775,4800,4800, 1.85
Domestic Consumption,United Kingdom,2955,3985,3980,4140,4050,4300, 2.83
Domestic Consumption,Russia,4165,4055,4250,4250,4250,4250, 2.91
Domestic Consumption,Vietnam,2720,3200,3200,3330,3600,3600, 1.99
Domestic Consumption,South Korea,2995,3405,3175,3350,3275,3500, 3.59
Domestic Consumption,Mexico,2589,2850,3035,3190,3100,3150, 3.00
Domestic Consumption,Ethiopia,3000,3364,3430,3000,3550,3100, 0.78
Domestic Consumption,Colombia,2080,2145,2150,2278,2275,2280, 1.57
Domestic Consumption,Australia,2055,2305,2135,2090,2200,2200, 3.34
Domestic Consumption,Algeria,2240,2090,2050,1950,1950,2050, 0.94
Domestic Consumption,Turkey,1165,1285,1590,1545,1625,1575, 1.54
Domestic Consumption,Saudi Arabia,1200,1140,1380,1440,1350,1350, 3.82
Domestic Consumption,Iran,425,635,770,1040,1000,1100, 1.67
Domestic Consumption,Switzerland,1180,1185,1160,1185,1100,1100, 5.90
Domestic Consumption,Ukraine,1235,1300,1090,1120,1120,1070, 1.28
Domestic Consumption,India,1180,875,900,950,1320,1025, 1.81
Domestic Consumption,Thailand,650,725,730,880,925,925, 2.04
Domestic Consumption,Jordan,845,730,725,805,810,825, 3.39
Ending Stocks,European Union,13767,14000,9313,8646,11600,8000, 4.50
Ending Stocks,United States,6023,6378,5700,5700,5700,5700, 4.36
Ending Stocks,Japan,2693,2898,2517,2426,2072,2500, 3.10
Ending Stocks,Brazil,4390,540,4620,1685,3539,1240, 1.55
Ending Stocks,Vietnam,3660,3580,839,839,439,939, 1.99
Ending Stocks,Colombia,1235,760,885,680,590,685, 1.57
Ending Stocks,China,488,358,303,558,458,558, 3.56
Ending Stocks,Indonesia,1669,1056,500,480,550,550, 1.85
Ending Stocks,Mexico,17,99,79,213,48,173, 3.00
Ending Stocks,Ethiopia,135,90,50,40,90,100, 0.78
